; no pol angkutan; numerator; kode tp;tanggal;jam;operator
1;P9915UW  ;1;6;04/10/2014;12:34:36;100001
2;P9915UW  ;1;6;04/10/2014;12:34:54;100001
3;P9915UW  ;1;6;04/10/2014;12:35:11;100001
4;P9915UW  ;1;6;04/10/2014;12:35:37;100001
5;P9915UW  ;1;6;04/10/2014;12:35:59;100001
6;P9915UW  ;1;6;04/10/2014;12:36:16;100001
7;P9915UW  ;1;6;04/10/2014;12:36:25;100001
8;P9915UW  ;1;6;04/10/2014;12:36:33;100001
9;P9915UW  ;1;6;04/10/2014;12:36:43;100001
10;P9915UW  ;1;6;04/10/2014;12:36:53;100001
11;P9915UW  ;1;6;04/10/2014;12:37:03;100001
12;P9915UW  ;1;6;04/10/2014;12:37:11;100001
13;P9915UW  ;1;6;04/10/2014;12:37:19;100001
14;P9915UW  ;1;6;04/10/2014;12:37:25;100001
15;P9915UW  ;1;6;04/10/2014;12:37:31;100001
