000000045,K1400HE  ,000000011,SOLO  ,04-02-14,16:05:39,100001
000000046,K1400HE  ,000000011,SOLO  ,04-02-14,16:05:50,100001
000000048,K1400HE  ,000000011,SOLO  ,04-02-14,16:05:55,100001
000000031,K1400HE  ,000000011,SOLO  ,04-02-14,16:06:14,100001
000000047,K1400HE  ,000000016,SOLO  ,04-02-14,16:07:06,100001
000000034,K1400HE  ,000000015,SOLO  ,04-02-14,16:07:36,100001
000000011,K1400HE  ,000000015,SOLO  ,04-02-14,16:07:45,100001
000000053,K1400HE  ,000000015,SOLO  ,04-02-14,16:07:51,100001
000000036,K1400HE  ,000000015,SOLO  ,04-02-14,16:07:56,100001
000000017,K1400HE  ,000000015,SOLO  ,04-02-14,16:08:08,100001
000000037,K1400HE  ,000000015,SOLO  ,04-02-14,16:08:18,100001
000000015,K1400HE  ,000000015,SOLO  ,04-02-14,16:08:23,100001
000000038,K1400HE  ,000000014,SOLO  ,04-02-14,16:08:40,100001
