Barcode; petak;jenis kayu;kode bkkph;kode unit+kph;kode tpk;kode kabupaten;kd sertifikat; jenis tebangan; no pohon; no potongan; panjang; diameter; tanggal; jam; operator
000000001;65A  ;10;1;213;04;202;1;1;1420;1;2.10 ;38;04/10/2014;12:03:34;100001
000000002;65A  ;10;1;213;04;202;1;1;1420;2;1.70 ;34;04/10/2014;12:04:41;100001
000000003;65A  ;10;1;213;04;202;1;1;1420;3;2.40 ;33;04/10/2014;12:05:29;100001
000000004;65A  ;10;1;213;04;202;1;1;1420;4;2.30 ;30;04/10/2014;12:06:08;100001
000000005;65A  ;10;1;213;04;202;1;1;1420;5;2.20 ;30;04/10/2014;12:06:41;100001
000000006;65A  ;10;1;213;04;202;1;1;1420;6;1.30 ;28;04/10/2014;12:07:23;100001
000000007;65A  ;10;1;213;04;202;1;1;1420;7;2.60 ;28;04/10/2014;12:12:04;100001
000000008;65A  ;10;1;213;04;202;1;1;1420;8;1.40 ;25;04/10/2014;12:12:31;100001
000000009;65A  ;10;1;213;04;202;1;1;1420;9;1.60 ;25;04/10/2014;12:12:51;100001
000000010;65A  ;10;1;213;04;202;1;1;1420;10;1.10 ;25;04/10/2014;12:13:26;100001
000000011;65A  ;10;1;213;04;202;1;1;1420;11;1.30 ;22;04/10/2014;12:14:06;100001
000000012;65A  ;10;1;213;04;202;1;1;1420;12;0.80 ;22;04/10/2014;12:14:43;100001
000000013;65A  ;10;1;213;04;202;1;1;1420;13;1.10 ;19;04/10/2014;12:15:19;100001
000000014;65A  ;10;1;213;04;202;1;1;1420;14;1.10 ;10;04/10/2014;12:16:35;100001
000000015;65A  ;10;1;213;04;202;1;1;1420;15;1.10 ;10;04/10/2014;12:17:09;100001
